full_name,phone,phone_secondary,province,city,address,postal_code,purchase_reference,purchase_date,purchase_amount,source_reference,purchased_item
سارا آزمایشی,09130000114,,مرکزی,اراک,خیابان نمونه چهارده,1414141414,ORD-0014,2025-02-15,930000,sales_excel_2024,خدمت پشتیبانی آزمایشی
شایان آزمایشی,09130000115,,همدان,همدان,خیابان نمونه پانزده,1515151515,ORD-0015,2025-02-18,2210000,sales_excel_2024,خدمت پشتیبانی آزمایشی
صبا آزمایشی,09130000116,,زنجان,زنجان,خیابان نمونه شانزده,1616161616,ORD-0016,2025-02-21,610000,sales_excel_2024,خدمت پشتیبانی آزمایشی
ضیا آزمایشی,09130000117,,قزوین,قزوین,خیابان نمونه هفده,1717171717,ORD-0017,2025-02-24,1320000,sales_excel_2024,خدمت پشتیبانی آزمایشی
طناز آزمایشی,09130000118,,گلستان,گرگان,خیابان نمونه هجده,1818181818,ORD-0018,2025-02-27,760000,sales_excel_2024,خدمت پشتیبانی آزمایشی
ظفر آزمایشی,09130000119,,لرستان,خرم آباد,خیابان نمونه نوزده,1919191919,ORD-0019,2025-03-02,2840000,sales_excel_2024,خدمت پشتیبانی آزمایشی
عسل آزمایشی,09130000120,,بوشهر,بوشهر,خیابان نمونه بیست,2020202020,ORD-0020,2025-03-05,470000,sales_excel_2024,خدمت پشتیبانی آزمایشی
غزل آزمایشی,09130000121,,خوزستان,اهواز,خیابان نمونه بیست و یک,2121212121,ORD-0021,2025-03-08,1590000,sales_excel_2024,بسته آموزشی آزمایشی
فرزاد آزمایشی,09130000122,,هرمزگان,بندرعباس,خیابان نمونه بیست و دو,2222222223,ORD-0022,2025-03-11,880000,sales_excel_2024,بسته آموزشی آزمایشی
کامیار آزمایشی,09130000123,,سمنان,سمنان,خیابان نمونه بیست و سه,2323232323,ORD-0023,2025-03-14,2360000,sales_excel_2024,بسته آموزشی آزمایشی
گلناز آزمایشی,09130000124,,اردبیل,اردبیل,خیابان نمونه بیست و چهار,2424242424,ORD-0024,2025-03-17,540000,sales_excel_2024,بسته آموزشی آزمایشی
لاله آزمایشی,09130000125,,ایلام,ایلام,خیابان نمونه بیست و پنج,2525252525,ORD-0025,2025-03-20,1740000,sales_excel_2024,بسته آموزشی آزمایشی
مانی آزمایشی,09130000126,,کهگیلویه و بویراحمد,یاسوج,خیابان نمونه بیست و شش,2626262626,ORD-0026,2025-03-23,990000,call_center_export,بسته آموزشی آزمایشی
نیلوفر آزمایشی,09130000127,,چهارمحال و بختیاری,شهرکرد,خیابان نمونه بیست و هفت,2727272727,ORD-0027,2025-03-26,2080000,call_center_export,بسته آموزشی آزمایشی
وحید آزمایشی,09130000128,,سیستان و بلوچستان,زاهدان,خیابان نمونه بیست و هشت,2828282828,ORD-0028,2025-03-29,650000,call_center_export,بسته آموزشی آزمایشی
هستی آزمایشی,09130000129,,خراسان جنوبی,بیرجند,خیابان نمونه بیست و نه,2929292929,ORD-0029,2025-04-01,1470000,call_center_export,بسته آموزشی آزمایشی
یاسمن آزمایشی,09130000130,,خراسان شمالی,بجنورد,خیابان نمونه سی,3030303030,ORD-0030,2025-04-04,810000,call_center_export,بسته آموزشی آزمایشی
آرمان آزمایشی,09130000101,,تهران,تهران,نشانی خرید دوم,1111111111,ORD-0031,2025-05-10,330000,call_center_export,تمدید پشتیبانی آزمایشی
آرمان آزمایشی,09130000101,,تهران,تهران,نشانی خرید سوم,1111111111,ORD-0032,2025-06-10,440000,call_center_export,لوازم جانبی آزمایشی
آرمان آزمایشی,09130000101,,تهران,تهران,نشانی خرید چهارم,1111111111,ORD-0033,2025-07-10,550000,call_center_export,خدمت نصب آزمایشی
بهار آزمایشی,09130000102,,اصفهان,اصفهان,نشانی خرید دوم,2222222222,ORD-0034,2025-05-12,660000,call_center_export,تمدید پشتیبانی آزمایشی
بهار آزمایشی,09130000102,,اصفهان,اصفهان,نشانی خرید سوم,2222222222,ORD-0035,2025-06-12,770000,call_center_export,خدمت نصب آزمایشی
مشتری تلفن موجود,09120000001,,تهران,تهران,نشانی منبع قدیمی,3131313131,ORD-0036,2025-04-10,120000,campaign_export,پیشنهاد کمپین آزمایشی
مشتری نیازمند بررسی,09130000137,,تهران,تهران,نشانی بررسی یک,3232323232,ORD-0037,2025-04-12,220000,campaign_export,پیشنهاد کمپین آزمایشی
مشتری نیازمند بررسی,09130000138,,تهران,تهران,نشانی بررسی دو,3333333334,ORD-0038,2025-04-13,230000,campaign_export,پیشنهاد کمپین آزمایشی
,09130000139,,تهران,تهران,نام ناقص,3434343434,ORD-0039,2025-04-14,240000,campaign_export,داده ناقص آزمایشی
بدون تلفن,,,تهران,تهران,تلفن ناقص,3535353535,ORD-0040,2025-04-15,250000,campaign_export,داده ناقص آزمایشی
تلفن نامعتبر,ABC-INVALID,,تهران,تهران,تلفن نامعتبر,3636363636,ORD-0041,2025-04-16,260000,campaign_export,داده نامعتبر آزمایشی
تاریخ نامعتبر,09130000142,,تهران,تهران,تاریخ نامعتبر,3737373737,ORD-0042,2025-02-30,270000,campaign_export,داده نامعتبر آزمایشی
مبلغ نامعتبر,09130000143,,تهران,تهران,مبلغ نامعتبر,3838383838,ORD-0043,2025-04-18,not-a-number,campaign_export,داده نامعتبر آزمایشی
تلفن تکراری در فیلدها,09130000144,09130000144,تهران,تهران,تلفن تکراری,3939393939,ORD-0044,2025-04-19,290000,campaign_export,داده نامعتبر آزمایشی
ک,09130000145,,تهران,تهران,نام کوتاه,4040404040,ORD-0045,2025-04-20,300000,campaign_export,داده ناقص آزمایشی
نشانی نقل قول,09130000146,,تهران,تهران,"خیابان نمونه، پلاک ۱۰, واحد ۲",4141414141,ORD-0046,2025-04-21,310000,campaign_export,خدمت آزمایشی
اعداد فارسی,۰۹۱۳۰۰۰۰۱۴۷,,تهران,تهران,تلفن با اعداد فارسی,4242424242,ORD-0047,2025-04-22,320000,campaign_export,خدمت آزمایشی
آرمان آزمایشی,+98 913 000 0101,,تهران,تهران,فرمت بین المللی همان تلفن,1111111111,ORD-0048,2025-08-10,880000,campaign_export,تمدید آزمایشی
علي كريمي,09130000149,,تهران,تهران,حروف عربی برای نرمال سازی,4343434343,ORD-0049,2025-04-24,340000,campaign_export,خدمت آزمایشی
آخرین مشتری آزمایشی,09130000150,,تهران,تهران,نشانی آخر,4444444445,ORD-0050,2025-04-25,350000,campaign_export,خدمت آزمایشی
